Internal ID,Name,Parent,Internal ID,Refresh Used Skus for Kit Refresh,Type
46952,0311 CHROME LIS,,46952,Yes,Inventory Item
48043,2015 JPX EZ LADY HCF,,48043,Yes,Inventory Item
50008,CLASSIC 2013 NEW PUT,,50008,Yes,Inventory Item
50016,DEV COPPER 2 NEW PUT,,50016,Yes,Inventory Item
50021,DEV CS PROTO NEW PUT,,50021,Yes,Inventory Item
50013,DEVON GSS NEW PUT,,50013,Yes,Inventory Item
44788,DUNNING M SSS,,44788,Yes,Inventory Item
50003,G2 BIG DOG NEW PUT,,50003,Yes,Inventory Item
50005,G2 DISCO NEW PUT,,50005,Yes,Inventory Item
50014,G2 LITTLE DG NEW PUT,,50014,Yes,Inventory Item
50018,G2 MILL LH NEW PUT,,50018,Yes,Inventory Item
50004,G2 MILL NEW PUT,,50004,Yes,Inventory Item
50009,G2 MILL SS NEW PUT,,50009,Yes,Inventory Item
50006,HEX MILL NEW PUT,,50006,Yes,Inventory Item
50012,HUMMER III NEW PUT,,50012,Yes,Inventory Item
50007,II TATTO NEW PUT,,50007,Yes,Inventory Item
50010,LITTLE DOG NEW PUT,,50010,Yes,Inventory Item
50011,LITTLE DOG P NEW PUT,,50011,Yes,Inventory Item
50017,W MUSCLE BACK LIS,,50017,Yes,Inventory Item
